exper_data_id	pop_label	data_group_name	data_id	date_str	time_str	exper_duration_s	trackL	n_tracks	mean_nb_tracks	logD	temperature	rel_humidity	location_label	env_label	T12	T13	T21	T23	T31	T32	mean_still	mean_forward	mean_backward
B207-20180611_133930_proc	PB250L499	B207	PB250L499_NGM_B207	20180611	133930	1209.899	376.094135802469	1269	394.465536654988	2.59600906611484	27.8	53	Paris2	NGM	-1.08054676169422	-1.64416812695577	-1.20616998207702	-4.33505290884779	0.265532827299511	-2.23490985816452	-1.01172457508469	0.798324045152539	-3.084727339938
B207-20180611_140003_proc	N2250L530	B207	N2250L530_NGM_B207	20180611	140003	1196.856	217.733663016602	6434	1170.4819860107	3.06836473419125	27.8	52	Paris2	NGM	-1.22301759748854	-1.89085520502899	-1.58709684438203	-5.18780300276069	-0.455169408656554	-2.63315937626722	-1.17091397753835	0.87918102983482	-2.81240130450679
B207-20180611_142028_proc	PB250L480	B207	PB250L480_NGM_B207	20180611	142028	1198.24	223.726978998384	3752	700.547156831635	2.84543737482872	27.8	52	Paris2	NGM	-0.865654209945736	-2.15824875432849	-2.19007358000504	-6.00939152715715	-0.367850402886846	-2.26374931701923	-2.06893695213488	1.87335734010784	-3.84196637463407
B207-20180611_144045_proc	PB250L498	B207	PB250L498_NGM_B207	20180611	144045	1198.557	110.453326544467	23902	2202.69491652533	3.34295434951354	27.8	53	Paris2	NGM	-0.717305124697048	-1.59163830024382	-2.65769465607647	-4.55263036827664	-0.658955114745462	-0.652563904600241	-2.77643554645605	2.48609042145724	-3.98639203249344
B207-20180611_150104_proc	PB250L430	B207	PB250L430_NGM_B207	20180611	150104	1198.429	144.769248137277	13254	1601.07241631458	3.2044109754512	27.8	52	Paris2	NGM	-0.568327540693177	-1.67490881996909	-2.11623994589632	-5.18499298280835	-0.528682110705773	-1.20770491309864	-2.13161163679034	1.89469268283382	-3.67809237997918
B207-20180611_152121_proc	PB250L420	B207	PB250L420_NGM_B207	20180611	152121	1198.852	180.195450716091	6658	1000.74180204707	3.00032204110509	27.8	53	Paris2	NGM	-0.123522811247549	-1.34481773020989	-1.24839377409368	-3.39565855156144	0.0752263763102811	-0.876768849231208	-1.45527385450947	1.17799860652952	-3.0269977128755
B207-20180611_154145_proc	N2ancL0	B207	N2ancL0_NGM_B207	20180611	154145	1250.257	381.211325160537	3412	1040.34053914335	3.01717552205143	27.9	52	Paris2	NGM	-1.30332826151952	-2.16346734780623	-0.947552299595091	-5.37391649222397	-0.170225396452568	-2.95861519774991	-0.503252399043697	0.26333076549928	-2.79180806409534
B207-20180611_160302_proc	PBancL0	B207	PBancL0_NGM_B207	20180611	160302	1297.59	225.411646586345	1321	229.478329164499	2.36074167911663	28	51	Paris2	NGM	-0.596123174774025	-1.871279742682	-0.750641924929651	-4.97265392119547	0.638111263314248	-2.16618785902332	-0.937483148421397	0.818057736952825	-3.67316061895877
B207-20180611_162512_proc	N2250L577	B207	N2250L577_NGM_B207	20180611	162512	1296.742	277.260557432432	4511	964.511348115279	2.98430734177239	28	52	Paris2	NGM	-1.11292813118934	-1.87475758996695	-1.45251975958087	-5.83947064607734	-0.444004709343753	-3.36892503662155	-1.09586756392359	0.784650075067635	-2.70288104878487
B207-20180611_170003_proc	PB250L493	B207	PB250L493_NGM_B207	20180611	170003	1121.455	115.936218678815	27216	2813.59495259519	3.44926157621377	28.1	52	Paris2	NGM	-0.771694195784453	-1.85549391762293	-2.60706685568736	-4.31121420054535	-0.784949070480942	-1.29486884654622	-2.52608656702736	2.16092078447263	-3.50164052529862
B207-20180611_171912_proc	N2250L524	B207	N2250L524_NGM_B207	20180611	171912	1177.06	285.172257821334	7143	1730.57060610147	3.23818932291054	28	52	Paris2	NGM	-1.68342417976192	-2.0607817640981	-1.55794437870306	-3.96867335603548	-0.659403226592707	-1.82869665963289	-0.862441785403435	0.507162151964834	-2.45560571492858
